"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"484"," "," ","CTNNB1"," "," "," "," "
"485"," "," "," "," "," "," "," "
"486","Saadatpour2011","Apoptosis","CTLA4"," ","GPCR","CTLA4","TCR"
"487"," "," ","TCR"," ","sFas","IFNG","CREB"
"488"," "," ","CREB"," ","Ceramide","Apoptosis","P2"
"489"," "," ","IFNG"," ","DISC"," ","SMAD"
"490"," "," ","P2"," ","Caspase"," ","Fas"
"491"," "," ","GPCR"," ","BID"," ","FLIP"
"492"," "," ","SMAD"," ","MCL1"," ","IAP"
"493"," "," ","Fas"," ","S1P"," "," "
"494"," "," ","sFas"," "," "," "," "
"495"," "," ","Ceramide"," "," "," "," "
"496"," "," ","DISC"," "," "," "," "
"497"," "," ","Caspase"," "," "," "," "
"498"," "," ","FLIP"," "," "," "," "
"499"," "," ","BID"," "," "," "," "
"500"," "," ","IAP"," "," "," "," "
"501"," "," ","MCL1"," "," "," "," "
"502"," "," ","S1P"," "," "," "," "
"503"," "," "," "," "," "," "," "
"504","Sahin2009","Akt1","EGF"," ","ErbB2_3","CDK6","EGF"
"505"," "," ","ErbB2_3"," ","ErbB1","p27","ErbB1_2"
"506"," "," ","CDK6"," ","CycD1","CDK4","pRB"
"507"," "," ","ErbB1_2"," ","cMYC","Akt1","CycE1"
"508"," "," ","p27"," "," ","MEK1","ErbB1_3"
"509"," "," ","CDK4"," "," ","ERa","ErbB3"
"510"," "," ","ErbB1"," "," ","p21","IGF1R"
"511"," "," ","pRB"," "," "," ","ErbB2"
"512"," "," ","CycE1"," "," "," ","CDK2"
"513"," "," ","CycD1"," "," "," "," "
"514"," "," ","cMYC"," "," "," "," "
"515"," "," ","ErbB1_3"," "," "," "," "
"516"," "," ","ErbB3"," "," "," "," "
"517"," "," ","IGF1R"," "," "," "," "
"518"," "," ","ErbB2"," "," "," "," "
"519"," "," ","MEK1"," "," "," "," "
"520"," "," ","ERa"," "," "," "," "
"521"," "," ","CDK2"," "," "," "," "
"522"," "," ","p21"," "," "," "," "
"523"," "," "," "," "," "," "," "
"524","Sankar2011"," ","BRX"," ","BRX","AUXIAA","NGA1"
"525"," "," ","NGA1"," ","ARFi","AuxREs","IAABiosynthesis"
"526"," "," ","ARFi"," ","ARFa","IAA","PIN"
"527"," "," ","IAABiosynthesis"," ","SCFTir1","BZR1","Elongation"
"528"," "," ","ARFa"," ","BR","BRREs","BRBiosynthesis"
"529"," "," ","AUXIAA"," ","BRI1BAK1"," ","StimAux"
